,Time,Activation,Underlying Relationship,Observations,Dimensions,Depth,Iteration
0,0.010759592056274414,ReLU,lin,100,1,1,0
0,0.008388042449951172,ReLU,lin,100,1,1,1
0,0.006506204605102539,ReLU,lin,100,1,1,2
0,0.0074710845947265625,ReLU,lin,100,1,1,3
0,0.006999969482421875,ReLU,lin,100,1,1,4
0,0.00700068473815918,Leaky_ReLU,lin,100,1,1,0
0,0.0061626434326171875,Leaky_ReLU,lin,100,1,1,1
0,0.006042003631591797,Leaky_ReLU,lin,100,1,1,2
0,0.007102489471435547,Leaky_ReLU,lin,100,1,1,3
0,0.0060880184173583984,Leaky_ReLU,lin,100,1,1,4
0,0.006211042404174805,ELU,lin,100,1,1,0
0,0.007895946502685547,ELU,lin,100,1,1,1
0,0.010894536972045898,ELU,lin,100,1,1,2
0,0.012841224670410156,ELU,lin,100,1,1,3
0,0.013844013214111328,ELU,lin,100,1,1,4
0,0.01351785659790039,PReLU,lin,100,1,1,0
0,0.00887608528137207,PReLU,lin,100,1,1,1
0,0.006856441497802734,PReLU,lin,100,1,1,2
0,0.006539344787597656,PReLU,lin,100,1,1,3
0,0.01110386848449707,PReLU,lin,100,1,1,4
0,0.01117706298828125,SELU,lin,100,1,1,0
0,0.01635432243347168,SELU,lin,100,1,1,1
0,0.016283750534057617,SELU,lin,100,1,1,2
0,0.014179229736328125,SELU,lin,100,1,1,3
0,0.01697850227355957,SELU,lin,100,1,1,4
0,0.022195100784301758,ALReLU,lin,100,1,1,0
0,0.01668381690979004,ALReLU,lin,100,1,1,1
0,0.017603635787963867,ALReLU,lin,100,1,1,2
0,0.016728878021240234,ALReLU,lin,100,1,1,3
0,0.01725172996520996,ALReLU,lin,100,1,1,4
0,0.02560901641845703,ReLU,lin,100,1,3,0
0,0.027065277099609375,ReLU,lin,100,1,3,1
0,0.017841100692749023,ReLU,lin,100,1,3,2
0,0.009114503860473633,ReLU,lin,100,1,3,3
0,0.018296003341674805,ReLU,lin,100,1,3,4
0,0.013106107711791992,Leaky_ReLU,lin,100,1,3,0
0,0.02252793312072754,Leaky_ReLU,lin,100,1,3,1
0,0.022998332977294922,Leaky_ReLU,lin,100,1,3,2
0,0.011998891830444336,Leaky_ReLU,lin,100,1,3,3
0,0.023471355438232422,Leaky_ReLU,lin,100,1,3,4
0,0.02720355987548828,ELU,lin,100,1,3,0
0,0.01679229736328125,ELU,lin,100,1,3,1
0,0.00975346565246582,ELU,lin,100,1,3,2
0,0.009780406951904297,ELU,lin,100,1,3,3
0,0.023393630981445312,ELU,lin,100,1,3,4
0,0.02867889404296875,PReLU,lin,100,1,3,0
0,0.028997421264648438,PReLU,lin,100,1,3,1
0,0.014999151229858398,PReLU,lin,100,1,3,2
0,0.015342235565185547,PReLU,lin,100,1,3,3
0,0.024861574172973633,PReLU,lin,100,1,3,4
0,0.01951313018798828,SELU,lin,100,1,3,0
0,0.00999903678894043,SELU,lin,100,1,3,1
0,0.010000467300415039,SELU,lin,100,1,3,2
0,0.009999513626098633,SELU,lin,100,1,3,3
0,0.01849079132080078,SELU,lin,100,1,3,4
0,0.03048539161682129,ALReLU,lin,100,1,3,0
0,0.029642820358276367,ALReLU,lin,100,1,3,1
0,0.01535797119140625,ALReLU,lin,100,1,3,2
0,0.01265716552734375,ALReLU,lin,100,1,3,3
0,0.012532234191894531,ALReLU,lin,100,1,3,4
0,0.022173404693603516,ReLU,lin,100,1,10,0
0,0.030665159225463867,ReLU,lin,100,1,10,1
0,0.040976524353027344,ReLU,lin,100,1,10,2
0,0.049321889877319336,ReLU,lin,100,1,10,3
0,0.053804874420166016,ReLU,lin,100,1,10,4
0,0.02850818634033203,Leaky_ReLU,lin,100,1,10,0
0,0.04012417793273926,Leaky_ReLU,lin,100,1,10,1
0,0.039702415466308594,Leaky_ReLU,lin,100,1,10,2
0,0.038613080978393555,Leaky_ReLU,lin,100,1,10,3
0,0.021961450576782227,Leaky_ReLU,lin,100,1,10,4
0,0.05014967918395996,ELU,lin,100,1,10,0
0,0.02301025390625,ELU,lin,100,1,10,1
0,0.02701711654663086,ELU,lin,100,1,10,2
0,0.03234457969665527,ELU,lin,100,1,10,3
0,0.06300950050354004,ELU,lin,100,1,10,4
0,0.06802773475646973,PReLU,lin,100,1,10,0
0,0.04180908203125,PReLU,lin,100,1,10,1
0,0.03847312927246094,PReLU,lin,100,1,10,2
0,0.05713629722595215,PReLU,lin,100,1,10,3
0,0.042772531509399414,PReLU,lin,100,1,10,4
0,0.02750849723815918,SELU,lin,100,1,10,0
0,0.029256582260131836,SELU,lin,100,1,10,1
0,0.03690624237060547,SELU,lin,100,1,10,2
0,0.0342106819152832,SELU,lin,100,1,10,3
0,0.0461888313293457,SELU,lin,100,1,10,4
0,0.060971975326538086,ALReLU,lin,100,1,10,0
0,0.03398585319519043,ALReLU,lin,100,1,10,1
0,0.05578207969665527,ALReLU,lin,100,1,10,2
0,0.031002521514892578,ALReLU,lin,100,1,10,3
0,0.0341029167175293,ALReLU,lin,100,1,10,4
0,0.06703329086303711,ReLU,lin,100,1,30,0
0,0.06152653694152832,ReLU,lin,100,1,30,1
0,0.05950760841369629,ReLU,lin,100,1,30,2
0,0.10914158821105957,ReLU,lin,100,1,30,3
0,0.11597609519958496,ReLU,lin,100,1,30,4
0,0.0917201042175293,Leaky_ReLU,lin,100,1,30,0
0,0.12763142585754395,Leaky_ReLU,lin,100,1,30,1
0,0.12055015563964844,Leaky_ReLU,lin,100,1,30,2
0,0.06203269958496094,Leaky_ReLU,lin,100,1,30,3
0,0.12203550338745117,Leaky_ReLU,lin,100,1,30,4
0,0.07379508018493652,ELU,lin,100,1,30,0
0,0.14978742599487305,ELU,lin,100,1,30,1
0,0.09335803985595703,ELU,lin,100,1,30,2
0,0.06124997138977051,ELU,lin,100,1,30,3
0,0.061104536056518555,ELU,lin,100,1,30,4
0,0.08861494064331055,PReLU,lin,100,1,30,0
0,0.08302545547485352,PReLU,lin,100,1,30,1
0,0.09797167778015137,PReLU,lin,100,1,30,2
0,0.1413710117340088,PReLU,lin,100,1,30,3
0,0.12938499450683594,PReLU,lin,100,1,30,4
0,0.08943676948547363,SELU,lin,100,1,30,0
0,0.11515974998474121,SELU,lin,100,1,30,1
0,0.11309146881103516,SELU,lin,100,1,30,2
0,0.12150406837463379,SELU,lin,100,1,30,3
0,0.06847643852233887,SELU,lin,100,1,30,4
0,0.12614083290100098,ALReLU,lin,100,1,30,0
0,0.18072986602783203,ALReLU,lin,100,1,30,1
0,0.1285560131072998,ALReLU,lin,100,1,30,2
0,0.148590087890625,ALReLU,lin,100,1,30,3
0,0.1466207504272461,ALReLU,lin,100,1,30,4
0,0.0089874267578125,ReLU,sin,100,1,1,0
0,0.005980730056762695,ReLU,sin,100,1,1,1
0,0.006612300872802734,ReLU,sin,100,1,1,2
0,0.0055158138275146484,ReLU,sin,100,1,1,3
0,0.00566554069519043,ReLU,sin,100,1,1,4
0,0.0065610408782958984,Leaky_ReLU,sin,100,1,1,0
0,0.006539106369018555,Leaky_ReLU,sin,100,1,1,1
0,0.007722377777099609,Leaky_ReLU,sin,100,1,1,2
0,0.009207963943481445,Leaky_ReLU,sin,100,1,1,3
0,0.009049177169799805,Leaky_ReLU,sin,100,1,1,4
0,0.013494253158569336,ELU,sin,100,1,1,0
0,0.00810098648071289,ELU,sin,100,1,1,1
0,0.006330966949462891,ELU,sin,100,1,1,2
0,0.006121397018432617,ELU,sin,100,1,1,3
0,0.0065920352935791016,ELU,sin,100,1,1,4
0,0.006961822509765625,PReLU,sin,100,1,1,0
0,0.007755279541015625,PReLU,sin,100,1,1,1
0,0.006882667541503906,PReLU,sin,100,1,1,2
0,0.006696939468383789,PReLU,sin,100,1,1,3
0,0.015925884246826172,PReLU,sin,100,1,1,4
0,0.011016130447387695,SELU,sin,100,1,1,0
0,0.012351036071777344,SELU,sin,100,1,1,1
0,0.01231527328491211,SELU,sin,100,1,1,2
0,0.01508784294128418,SELU,sin,100,1,1,3
0,0.015634775161743164,SELU,sin,100,1,1,4
0,0.023113012313842773,ALReLU,sin,100,1,1,0
0,0.0179293155670166,ALReLU,sin,100,1,1,1
0,0.017869949340820312,ALReLU,sin,100,1,1,2
0,0.013646125793457031,ALReLU,sin,100,1,1,3
0,0.014750480651855469,ALReLU,sin,100,1,1,4
0,0.031617164611816406,ReLU,sin,100,1,3,0
0,0.02494025230407715,ReLU,sin,100,1,3,1
0,0.024140119552612305,ReLU,sin,100,1,3,2
0,0.023410320281982422,ReLU,sin,100,1,3,3
0,0.015404224395751953,ReLU,sin,100,1,3,4
0,0.009732961654663086,Leaky_ReLU,sin,100,1,3,0
0,0.00951838493347168,Leaky_ReLU,sin,100,1,3,1
0,0.009502172470092773,Leaky_ReLU,sin,100,1,3,2
0,0.00987386703491211,Leaky_ReLU,sin,100,1,3,3
0,0.009828805923461914,Leaky_ReLU,sin,100,1,3,4
0,0.010140180587768555,ELU,sin,100,1,3,0
0,0.009831905364990234,ELU,sin,100,1,3,1
0,0.023516178131103516,ELU,sin,100,1,3,2
0,0.012285947799682617,ELU,sin,100,1,3,3
0,0.010039329528808594,ELU,sin,100,1,3,4
0,0.013093709945678711,PReLU,sin,100,1,3,0
0,0.011426448822021484,PReLU,sin,100,1,3,1
0,0.012227058410644531,PReLU,sin,100,1,3,2
0,0.02249622344970703,PReLU,sin,100,1,3,3
0,0.02957439422607422,PReLU,sin,100,1,3,4
0,0.011181354522705078,SELU,sin,100,1,3,0
0,0.009923696517944336,SELU,sin,100,1,3,1
0,0.009652376174926758,SELU,sin,100,1,3,2
0,0.009331464767456055,SELU,sin,100,1,3,3
0,0.009842395782470703,SELU,sin,100,1,3,4
0,0.013695001602172852,ALReLU,sin,100,1,3,0
0,0.016939163208007812,ALReLU,sin,100,1,3,1
0,0.0254671573638916,ALReLU,sin,100,1,3,2
0,0.019423723220825195,ALReLU,sin,100,1,3,3
0,0.013274669647216797,ALReLU,sin,100,1,3,4
0,0.023395538330078125,ReLU,sin,100,1,10,0
0,0.05161905288696289,ReLU,sin,100,1,10,1
0,0.05450439453125,ReLU,sin,100,1,10,2
0,0.055887460708618164,ReLU,sin,100,1,10,3
0,0.02426767349243164,ReLU,sin,100,1,10,4
0,0.05728602409362793,Leaky_ReLU,sin,100,1,10,0
0,0.05934453010559082,Leaky_ReLU,sin,100,1,10,1
0,0.05938267707824707,Leaky_ReLU,sin,100,1,10,2
0,0.039205074310302734,Leaky_ReLU,sin,100,1,10,3
0,0.022358179092407227,Leaky_ReLU,sin,100,1,10,4
0,0.022580862045288086,ELU,sin,100,1,10,0
0,0.02198934555053711,ELU,sin,100,1,10,1
0,0.02902984619140625,ELU,sin,100,1,10,2
0,0.041445255279541016,ELU,sin,100,1,10,3
0,0.0457453727722168,ELU,sin,100,1,10,4
0,0.03594183921813965,PReLU,sin,100,1,10,0
0,0.05220746994018555,PReLU,sin,100,1,10,1
0,0.06671309471130371,PReLU,sin,100,1,10,2
0,0.05974316596984863,PReLU,sin,100,1,10,3
0,0.056507110595703125,PReLU,sin,100,1,10,4
0,0.05675625801086426,SELU,sin,100,1,10,0
0,0.05299687385559082,SELU,sin,100,1,10,1
0,0.0558011531829834,SELU,sin,100,1,10,2
0,0.03294658660888672,SELU,sin,100,1,10,3
0,0.05724978446960449,SELU,sin,100,1,10,4
0,0.05804157257080078,ALReLU,sin,100,1,10,0
0,0.08880448341369629,ALReLU,sin,100,1,10,1
0,0.03763270378112793,ALReLU,sin,100,1,10,2
0,0.054257869720458984,ALReLU,sin,100,1,10,3
0,0.03208780288696289,ALReLU,sin,100,1,10,4
0,0.11624550819396973,ReLU,sin,100,1,30,0
0,0.06996846199035645,ReLU,sin,100,1,30,1
0,0.1398601531982422,ReLU,sin,100,1,30,2
0,0.16407036781311035,ReLU,sin,100,1,30,3
0,0.14299654960632324,ReLU,sin,100,1,30,4
0,0.10435366630554199,Leaky_ReLU,sin,100,1,30,0
0,0.10868430137634277,Leaky_ReLU,sin,100,1,30,1
0,0.16808032989501953,Leaky_ReLU,sin,100,1,30,2
0,0.1663360595703125,Leaky_ReLU,sin,100,1,30,3
0,0.12270498275756836,Leaky_ReLU,sin,100,1,30,4
0,0.12284612655639648,ELU,sin,100,1,30,0
0,0.10577893257141113,ELU,sin,100,1,30,1
0,0.10112214088439941,ELU,sin,100,1,30,2
0,0.10627293586730957,ELU,sin,100,1,30,3
0,0.1537458896636963,ELU,sin,100,1,30,4
0,0.24339652061462402,PReLU,sin,100,1,30,0
0,0.25024962425231934,PReLU,sin,100,1,30,1
0,0.2622256278991699,PReLU,sin,100,1,30,2
0,0.20241880416870117,PReLU,sin,100,1,30,3
0,0.1495189666748047,PReLU,sin,100,1,30,4
0,0.13473105430603027,SELU,sin,100,1,30,0
0,0.13292908668518066,SELU,sin,100,1,30,1
0,0.11708593368530273,SELU,sin,100,1,30,2
0,0.1270461082458496,SELU,sin,100,1,30,3
0,0.1253974437713623,SELU,sin,100,1,30,4
0,0.2602229118347168,ALReLU,sin,100,1,30,0
0,0.23105859756469727,ALReLU,sin,100,1,30,1
0,0.2169194221496582,ALReLU,sin,100,1,30,2
0,0.23301196098327637,ALReLU,sin,100,1,30,3
0,0.2167036533355713,ALReLU,sin,100,1,30,4
0,0.02741837501525879,ReLU,qdr,100,1,1,0
0,0.0206606388092041,ReLU,qdr,100,1,1,1
0,0.016619443893432617,ReLU,qdr,100,1,1,2
0,0.015656709671020508,ReLU,qdr,100,1,1,3
0,0.021210670471191406,ReLU,qdr,100,1,1,4
0,0.022089481353759766,Leaky_ReLU,qdr,100,1,1,0
0,0.010530948638916016,Leaky_ReLU,qdr,100,1,1,1
0,0.011107921600341797,Leaky_ReLU,qdr,100,1,1,2
0,0.018742799758911133,Leaky_ReLU,qdr,100,1,1,3
0,0.02014470100402832,Leaky_ReLU,qdr,100,1,1,4
0,0.02136373519897461,ELU,qdr,100,1,1,0
0,0.017639875411987305,ELU,qdr,100,1,1,1
0,0.02113962173461914,ELU,qdr,100,1,1,2
0,0.017046213150024414,ELU,qdr,100,1,1,3
0,0.01584172248840332,ELU,qdr,100,1,1,4
0,0.011594772338867188,PReLU,qdr,100,1,1,0
0,0.012510061264038086,PReLU,qdr,100,1,1,1
0,0.016080379486083984,PReLU,qdr,100,1,1,2
0,0.016989469528198242,PReLU,qdr,100,1,1,3
0,0.018184185028076172,PReLU,qdr,100,1,1,4
0,0.016689300537109375,SELU,qdr,100,1,1,0
0,0.019680500030517578,SELU,qdr,100,1,1,1
0,0.01882028579711914,SELU,qdr,100,1,1,2
0,0.016550302505493164,SELU,qdr,100,1,1,3
0,0.019117116928100586,SELU,qdr,100,1,1,4
0,0.018985509872436523,ALReLU,qdr,100,1,1,0
0,0.020484209060668945,ALReLU,qdr,100,1,1,1
0,0.020195722579956055,ALReLU,qdr,100,1,1,2
0,0.02503037452697754,ALReLU,qdr,100,1,1,3
0,0.026563167572021484,ALReLU,qdr,100,1,1,4
0,0.01883077621459961,ReLU,qdr,100,1,3,0
0,0.008981943130493164,ReLU,qdr,100,1,3,1
0,0.010115623474121094,ReLU,qdr,100,1,3,2
0,0.009888410568237305,ReLU,qdr,100,1,3,3
0,0.010037660598754883,ReLU,qdr,100,1,3,4
0,0.022043466567993164,Leaky_ReLU,qdr,100,1,3,0
0,0.023021459579467773,Leaky_ReLU,qdr,100,1,3,1
0,0.01973724365234375,Leaky_ReLU,qdr,100,1,3,2
0,0.009937047958374023,Leaky_ReLU,qdr,100,1,3,3
0,0.011986494064331055,Leaky_ReLU,qdr,100,1,3,4
0,0.028785228729248047,ELU,qdr,100,1,3,0
0,0.025720834732055664,ELU,qdr,100,1,3,1
0,0.024945735931396484,ELU,qdr,100,1,3,2
0,0.019057273864746094,ELU,qdr,100,1,3,3
0,0.011388540267944336,ELU,qdr,100,1,3,4
0,0.012568473815917969,PReLU,qdr,100,1,3,0
0,0.01562952995300293,PReLU,qdr,100,1,3,1
0,0.029666662216186523,PReLU,qdr,100,1,3,2
0,0.03571772575378418,PReLU,qdr,100,1,3,3
0,0.040619611740112305,PReLU,qdr,100,1,3,4
0,0.02870774269104004,SELU,qdr,100,1,3,0
0,0.03203415870666504,SELU,qdr,100,1,3,1
0,0.025381803512573242,SELU,qdr,100,1,3,2
0,0.011295318603515625,SELU,qdr,100,1,3,3
0,0.026946306228637695,SELU,qdr,100,1,3,4
0,0.03792142868041992,ALReLU,qdr,100,1,3,0
0,0.033721923828125,ALReLU,qdr,100,1,3,1
0,0.03230023384094238,ALReLU,qdr,100,1,3,2
0,0.03484773635864258,ALReLU,qdr,100,1,3,3
0,0.035353660583496094,ALReLU,qdr,100,1,3,4
0,0.05122494697570801,ReLU,qdr,100,1,10,0
0,0.05748105049133301,ReLU,qdr,100,1,10,1
0,0.06130647659301758,ReLU,qdr,100,1,10,2
0,0.056073665618896484,ReLU,qdr,100,1,10,3
0,0.038420915603637695,ReLU,qdr,100,1,10,4
0,0.07479286193847656,Leaky_ReLU,qdr,100,1,10,0
0,0.050443410873413086,Leaky_ReLU,qdr,100,1,10,1
0,0.06681323051452637,Leaky_ReLU,qdr,100,1,10,2
0,0.04762744903564453,Leaky_ReLU,qdr,100,1,10,3
0,0.027539968490600586,Leaky_ReLU,qdr,100,1,10,4
0,0.02311563491821289,ELU,qdr,100,1,10,0
0,0.02238011360168457,ELU,qdr,100,1,10,1
0,0.022574186325073242,ELU,qdr,100,1,10,2
0,0.022548913955688477,ELU,qdr,100,1,10,3
0,0.023199796676635742,ELU,qdr,100,1,10,4
0,0.05353212356567383,PReLU,qdr,100,1,10,0
0,0.0694420337677002,PReLU,qdr,100,1,10,1
0,0.10055279731750488,PReLU,qdr,100,1,10,2
0,0.048241376876831055,PReLU,qdr,100,1,10,3
0,0.04829740524291992,PReLU,qdr,100,1,10,4
0,0.05263710021972656,SELU,qdr,100,1,10,0
