Average Time,Activation,Underlying Relationship,Observations,Dimensions,Depth
0.006999492645263672,ReLU,exp,100,1,1
0.00843954086303711,Leaky_ReLU,exp,100,1,1
0.010602235794067383,ELU,exp,100,1,1
0.008000612258911133,PReLU,exp,100,1,1
0.010102272033691406,SELU,exp,100,1,1
0.009000539779663086,ALReLU,exp,100,1,1
0.010999917984008789,ReLU,exp,100,1,3
0.012350082397460938,Leaky_ReLU,exp,100,1,3
0.0149993896484375,ELU,exp,100,1,3
0.015000104904174805,PReLU,exp,100,1,3
0.012508630752563477,SELU,exp,100,1,3
0.019476890563964844,ALReLU,exp,100,1,3
0.04370570182800293,ReLU,exp,100,1,10
0.0637211799621582,Leaky_ReLU,exp,100,1,10
0.02650904655456543,ELU,exp,100,1,10
0.03752565383911133,PReLU,exp,100,1,10
0.028813600540161133,SELU,exp,100,1,10
0.04633307456970215,ALReLU,exp,100,1,10
0.08280062675476074,ReLU,exp,100,1,30
0.07600617408752441,Leaky_ReLU,exp,100,1,30
0.10206270217895508,ELU,exp,100,1,30
0.12250018119812012,PReLU,exp,100,1,30
0.12084031105041504,SELU,exp,100,1,30
0.20294499397277832,ALReLU,exp,100,1,30
0.014704465866088867,ReLU,exp,100,2,1
0.022198915481567383,Leaky_ReLU,exp,100,2,1
0.026729822158813477,ELU,exp,100,2,1
0.019979238510131836,PReLU,exp,100,2,1
0.021775484085083008,SELU,exp,100,2,1
0.025973796844482422,ALReLU,exp,100,2,1
0.01872849464416504,ReLU,exp,100,2,3
0.027239322662353516,Leaky_ReLU,exp,100,2,3
0.019344806671142578,ELU,exp,100,2,3
0.02116680145263672,PReLU,exp,100,2,3
0.017483949661254883,SELU,exp,100,2,3
0.03487253189086914,ALReLU,exp,100,2,3
0.04431295394897461,ReLU,exp,100,2,10
0.03299832344055176,Leaky_ReLU,exp,100,2,10
0.03278040885925293,ELU,exp,100,2,10
0.06212329864501953,PReLU,exp,100,2,10
0.052123069763183594,SELU,exp,100,2,10
0.040305376052856445,ALReLU,exp,100,2,10
0.18230986595153809,ReLU,exp,100,2,30
0.09254932403564453,Leaky_ReLU,exp,100,2,30
0.17606830596923828,ELU,exp,100,2,30
0.17400884628295898,PReLU,exp,100,2,30
0.0752248764038086,SELU,exp,100,2,30
0.11739611625671387,ALReLU,exp,100,2,30
0.0066089630126953125,ReLU,exp,100,5,1
0.007680177688598633,Leaky_ReLU,exp,100,5,1
0.010543584823608398,ELU,exp,100,5,1
0.006999969482421875,PReLU,exp,100,5,1
0.018871307373046875,SELU,exp,100,5,1
0.023370742797851562,ALReLU,exp,100,5,1
0.012026786804199219,ReLU,exp,100,5,3
0.03154349327087402,Leaky_ReLU,exp,100,5,3
0.013280630111694336,ELU,exp,100,5,3
0.02530503273010254,PReLU,exp,100,5,3
0.03108525276184082,SELU,exp,100,5,3
0.016486167907714844,ALReLU,exp,100,5,3
0.03432321548461914,ReLU,exp,100,5,10
0.05006980895996094,Leaky_ReLU,exp,100,5,10
0.0643153190612793,ELU,exp,100,5,10
0.03458833694458008,PReLU,exp,100,5,10
0.027793169021606445,SELU,exp,100,5,10
0.047753334045410156,ALReLU,exp,100,5,10
0.16549277305603027,ReLU,exp,100,5,30
0.09652495384216309,Leaky_ReLU,exp,100,5,30
0.08242583274841309,ELU,exp,100,5,30
0.1973552703857422,PReLU,exp,100,5,30
0.14384818077087402,SELU,exp,100,5,30
0.1240997314453125,ALReLU,exp,100,5,30
0.00905752182006836,ReLU,exp,500,1,1
0.007825374603271484,Leaky_ReLU,exp,500,1,1
0.00761723518371582,ELU,exp,500,1,1
0.010999917984008789,PReLU,exp,500,1,1
0.0075075626373291016,SELU,exp,500,1,1
0.008676290512084961,ALReLU,exp,500,1,1
0.02588367462158203,ReLU,exp,500,1,3
0.019832134246826172,Leaky_ReLU,exp,500,1,3
0.02857518196105957,ELU,exp,500,1,3
0.020934581756591797,PReLU,exp,500,1,3
0.033463239669799805,SELU,exp,500,1,3
0.02248859405517578,ALReLU,exp,500,1,3
0.030991792678833008,ReLU,exp,500,1,10
0.048165082931518555,Leaky_ReLU,exp,500,1,10
0.02962493896484375,ELU,exp,500,1,10
0.04261445999145508,PReLU,exp,500,1,10
0.03771781921386719,SELU,exp,500,1,10
0.04809379577636719,ALReLU,exp,500,1,10
0.12936949729919434,ReLU,exp,500,1,30
0.08529019355773926,Leaky_ReLU,exp,500,1,30
0.07717275619506836,ELU,exp,500,1,30
0.17842745780944824,PReLU,exp,500,1,30
0.08163189888000488,SELU,exp,500,1,30
0.12994599342346191,ALReLU,exp,500,1,30
0.008934259414672852,ReLU,exp,500,2,1
0.008045196533203125,Leaky_ReLU,exp,500,2,1
0.008143424987792969,ELU,exp,500,2,1
0.010650396347045898,PReLU,exp,500,2,1
0.008402109146118164,SELU,exp,500,2,1
0.01892876625061035,ALReLU,exp,500,2,1
0.013321399688720703,ReLU,exp,500,2,3
0.010834217071533203,Leaky_ReLU,exp,500,2,3
0.012266159057617188,ELU,exp,500,2,3
0.018584012985229492,PReLU,exp,500,2,3
0.015321493148803711,SELU,exp,500,2,3
0.019702434539794922,ALReLU,exp,500,2,3
0.05180716514587402,ReLU,exp,500,2,10
0.037106990814208984,Leaky_ReLU,exp,500,2,10
0.03481268882751465,ELU,exp,500,2,10
0.046892404556274414,PReLU,exp,500,2,10
0.03252220153808594,SELU,exp,500,2,10
0.05297589302062988,ALReLU,exp,500,2,10
0.09126400947570801,ReLU,exp,500,2,30
0.09012460708618164,Leaky_ReLU,exp,500,2,30
0.09162497520446777,ELU,exp,500,2,30
0.20737600326538086,PReLU,exp,500,2,30
0.12362861633300781,SELU,exp,500,2,30
0.20683693885803223,ALReLU,exp,500,2,30
0.007683515548706055,ReLU,exp,500,5,1
0.008661270141601562,Leaky_ReLU,exp,500,5,1
0.019281864166259766,ELU,exp,500,5,1
0.023586034774780273,PReLU,exp,500,5,1
0.00795292854309082,SELU,exp,500,5,1
0.027597904205322266,ALReLU,exp,500,5,1
0.013448238372802734,ReLU,exp,500,5,3
0.012373208999633789,Leaky_ReLU,exp,500,5,3
0.011872291564941406,ELU,exp,500,5,3
0.01641082763671875,PReLU,exp,500,5,3
0.023564815521240234,SELU,exp,500,5,3
0.026453495025634766,ALReLU,exp,500,5,3
0.029554128646850586,ReLU,exp,500,5,10
0.03001546859741211,Leaky_ReLU,exp,500,5,10
0.029461145401000977,ELU,exp,500,5,10
0.03988027572631836,PReLU,exp,500,5,10
0.03240656852722168,SELU,exp,500,5,10
0.05775189399719238,ALReLU,exp,500,5,10
0.07683181762695312,ReLU,exp,500,5,30
0.07914590835571289,Leaky_ReLU,exp,500,5,30
0.09711217880249023,ELU,exp,500,5,30
0.13256049156188965,PReLU,exp,500,5,30
0.08779406547546387,SELU,exp,500,5,30
0.19652962684631348,ALReLU,exp,500,5,30
