Average Time,Activation,Underlying Relationship,Observations,Dimensions,Depth
0.008449077606201172,ReLU,lin,100,1,1
0.013152122497558594,Leaky_ReLU,lin,100,1,1
0.012638568878173828,ELU,lin,100,1,1
0.011069536209106445,PReLU,lin,100,1,1
0.009000301361083984,SELU,lin,100,1,1
0.007319211959838867,ALReLU,lin,100,1,1
0.015524625778198242,ReLU,lin,100,1,3
0.026808738708496094,Leaky_ReLU,lin,100,1,3
0.009508132934570312,ELU,lin,100,1,3
0.017385482788085938,PReLU,lin,100,1,3
0.014837980270385742,SELU,lin,100,1,3
0.01745891571044922,ALReLU,lin,100,1,3
0.05704832077026367,ReLU,lin,100,1,10
0.043953657150268555,Leaky_ReLU,lin,100,1,10
0.0653538703918457,ELU,lin,100,1,10
0.09391546249389648,PReLU,lin,100,1,10
0.04178166389465332,SELU,lin,100,1,10
0.04539942741394043,ALReLU,lin,100,1,10
0.11922526359558105,ReLU,lin,100,1,30
0.10876655578613281,Leaky_ReLU,lin,100,1,30
0.12305665016174316,ELU,lin,100,1,30
0.16362857818603516,PReLU,lin,100,1,30
0.12279391288757324,SELU,lin,100,1,30
0.17941713333129883,ALReLU,lin,100,1,30
0.01821589469909668,ReLU,sin,100,1,1
0.028992652893066406,Leaky_ReLU,sin,100,1,1
0.024335861206054688,ELU,sin,100,1,1
0.015581369400024414,PReLU,sin,100,1,1
0.01590418815612793,SELU,sin,100,1,1
0.03148818016052246,ALReLU,sin,100,1,1
0.03206372261047363,ReLU,sin,100,1,3
0.0278627872467041,Leaky_ReLU,sin,100,1,3
0.04391789436340332,ELU,sin,100,1,3
0.05334663391113281,PReLU,sin,100,1,3
0.028064489364624023,SELU,sin,100,1,3
0.021030187606811523,ALReLU,sin,100,1,3
0.03582453727722168,ReLU,sin,100,1,10
0.06520366668701172,Leaky_ReLU,sin,100,1,10
0.02304387092590332,ELU,sin,100,1,10
0.030765295028686523,PReLU,sin,100,1,10
0.03339886665344238,SELU,sin,100,1,10
0.056586265563964844,ALReLU,sin,100,1,10
0.08785152435302734,ReLU,sin,100,1,30
0.14991402626037598,Leaky_ReLU,sin,100,1,30
0.12494540214538574,ELU,sin,100,1,30
0.1673259735107422,PReLU,sin,100,1,30
0.12809181213378906,SELU,sin,100,1,30
0.19616413116455078,ALReLU,sin,100,1,30
0.010924100875854492,ReLU,qdr,100,1,1
0.0054891109466552734,Leaky_ReLU,qdr,100,1,1
0.00828242301940918,ELU,qdr,100,1,1
0.005491971969604492,PReLU,qdr,100,1,1
0.016013622283935547,SELU,qdr,100,1,1
0.02349090576171875,ALReLU,qdr,100,1,1
0.010349273681640625,ReLU,qdr,100,1,3
0.00900721549987793,Leaky_ReLU,qdr,100,1,3
0.02484917640686035,ELU,qdr,100,1,3
0.012247323989868164,PReLU,qdr,100,1,3
0.022166728973388672,SELU,qdr,100,1,3
0.03138589859008789,ALReLU,qdr,100,1,3
0.03193783760070801,ReLU,qdr,100,1,10
0.051970720291137695,Leaky_ReLU,qdr,100,1,10
0.06530046463012695,ELU,qdr,100,1,10
0.07400798797607422,PReLU,qdr,100,1,10
0.03308844566345215,SELU,qdr,100,1,10
0.03421378135681152,ALReLU,qdr,100,1,10
0.08464717864990234,ReLU,qdr,100,1,30
0.11700034141540527,Leaky_ReLU,qdr,100,1,30
0.08289074897766113,ELU,qdr,100,1,30
0.1277608871459961,PReLU,qdr,100,1,30
0.06285691261291504,SELU,qdr,100,1,30
0.16842412948608398,ALReLU,qdr,100,1,30
0.017100811004638672,ReLU,exp,100,1,1
0.014875650405883789,Leaky_ReLU,exp,100,1,1
0.0077168941497802734,ELU,exp,100,1,1
0.016531705856323242,PReLU,exp,100,1,1
0.014431238174438477,SELU,exp,100,1,1
0.009185791015625,ALReLU,exp,100,1,1
0.02251911163330078,ReLU,exp,100,1,3
0.026568174362182617,Leaky_ReLU,exp,100,1,3
0.009982824325561523,ELU,exp,100,1,3
0.022308826446533203,PReLU,exp,100,1,3
0.023551225662231445,SELU,exp,100,1,3
0.031380414962768555,ALReLU,exp,100,1,3
0.05812978744506836,ReLU,exp,100,1,10
0.03757357597351074,Leaky_ReLU,exp,100,1,10
0.06267499923706055,ELU,exp,100,1,10
0.06268620491027832,PReLU,exp,100,1,10
0.05022788047790527,SELU,exp,100,1,10
0.06537389755249023,ALReLU,exp,100,1,10
0.09744572639465332,ReLU,exp,100,1,30
0.14160633087158203,Leaky_ReLU,exp,100,1,30
0.11680364608764648,ELU,exp,100,1,30
0.18698906898498535,PReLU,exp,100,1,30
0.1691896915435791,SELU,exp,100,1,30
0.24451422691345215,ALReLU,exp,100,1,30
0.007000446319580078,ReLU,lin,100,2,1
0.011976242065429688,Leaky_ReLU,lin,100,2,1
0.007692575454711914,ELU,lin,100,2,1
0.009167909622192383,PReLU,lin,100,2,1
0.019029855728149414,SELU,lin,100,2,1
0.026934385299682617,ALReLU,lin,100,2,1
0.012511014938354492,ReLU,lin,100,2,3
0.014642715454101562,Leaky_ReLU,lin,100,2,3
0.015879154205322266,ELU,lin,100,2,3
0.029729127883911133,PReLU,lin,100,2,3
0.02902078628540039,SELU,lin,100,2,3
0.02432703971862793,ALReLU,lin,100,2,3
0.031071901321411133,ReLU,lin,100,2,10
0.06455492973327637,Leaky_ReLU,lin,100,2,10
0.03840303421020508,ELU,lin,100,2,10
0.08997726440429688,PReLU,lin,100,2,10
0.04266643524169922,SELU,lin,100,2,10
0.057555437088012695,ALReLU,lin,100,2,10
0.07855653762817383,ReLU,lin,100,2,30
0.1598505973815918,Leaky_ReLU,lin,100,2,30
0.12289190292358398,ELU,lin,100,2,30
0.1926102638244629,PReLU,lin,100,2,30
0.12139201164245605,SELU,lin,100,2,30
0.17769217491149902,ALReLU,lin,100,2,30
0.012002944946289062,ReLU,sin,100,2,1
0.008391141891479492,Leaky_ReLU,sin,100,2,1
0.00885009765625,ELU,sin,100,2,1
0.009223461151123047,PReLU,sin,100,2,1
0.01293802261352539,SELU,sin,100,2,1
0.028373003005981445,ALReLU,sin,100,2,1
0.020126819610595703,ReLU,sin,100,2,3
0.023377180099487305,Leaky_ReLU,sin,100,2,3
0.02649545669555664,ELU,sin,100,2,3
0.01700615882873535,PReLU,sin,100,2,3
0.024909019470214844,SELU,sin,100,2,3
0.013162612915039062,ALReLU,sin,100,2,3
0.024991512298583984,ReLU,sin,100,2,10
0.03591322898864746,Leaky_ReLU,sin,100,2,10
0.060315847396850586,ELU,sin,100,2,10
0.07799482345581055,PReLU,sin,100,2,10
0.04220390319824219,SELU,sin,100,2,10
0.04758858680725098,ALReLU,sin,100,2,10
0.16634583473205566,ReLU,sin,100,2,30
0.20778989791870117,Leaky_ReLU,sin,100,2,30
0.13044095039367676,ELU,sin,100,2,30
0.24955010414123535,PReLU,sin,100,2,30
0.10258841514587402,SELU,sin,100,2,30
0.26517748832702637,ALReLU,sin,100,2,30
0.010458946228027344,ReLU,qdr,100,2,1
0.02294301986694336,Leaky_ReLU,qdr,100,2,1
0.020781993865966797,ELU,qdr,100,2,1
0.008242607116699219,PReLU,qdr,100,2,1
0.008431434631347656,SELU,qdr,100,2,1
0.008814096450805664,ALReLU,qdr,100,2,1
0.02962779998779297,ReLU,qdr,100,2,3
0.00999903678894043,Leaky_ReLU,qdr,100,2,3
0.025726795196533203,ELU,qdr,100,2,3
0.014080047607421875,PReLU,qdr,100,2,3
0.011165142059326172,SELU,qdr,100,2,3
0.021952390670776367,ALReLU,qdr,100,2,3
0.05198860168457031,ReLU,qdr,100,2,10
0.032540082931518555,Leaky_ReLU,qdr,100,2,10
0.022543668746948242,ELU,qdr,100,2,10
0.04135417938232422,PReLU,qdr,100,2,10
0.025855064392089844,SELU,qdr,100,2,10
0.05126595497131348,ALReLU,qdr,100,2,10
0.1262192726135254,ReLU,qdr,100,2,30
0.059415340423583984,Leaky_ReLU,qdr,100,2,30
0.07775998115539551,ELU,qdr,100,2,30
0.23893952369689941,PReLU,qdr,100,2,30
0.16405963897705078,SELU,qdr,100,2,30
0.21112608909606934,ALReLU,qdr,100,2,30
0.009776115417480469,ReLU,exp,100,2,1
0.015005111694335938,Leaky_ReLU,exp,100,2,1
0.009408712387084961,ELU,exp,100,2,1
0.017850637435913086,PReLU,exp,100,2,1
0.016628265380859375,SELU,exp,100,2,1
0.00957345962524414,ALReLU,exp,100,2,1
0.02192544937133789,ReLU,exp,100,2,3
0.02853846549987793,Leaky_ReLU,exp,100,2,3
0.022222042083740234,ELU,exp,100,2,3
0.048593759536743164,PReLU,exp,100,2,3
0.011385202407836914,SELU,exp,100,2,3
0.01918792724609375,ALReLU,exp,100,2,3
0.07316398620605469,ReLU,exp,100,2,10
0.035440921783447266,Leaky_ReLU,exp,100,2,10
0.06982684135437012,ELU,exp,100,2,10
0.05017542839050293,PReLU,exp,100,2,10
0.05706167221069336,SELU,exp,100,2,10
0.04691147804260254,ALReLU,exp,100,2,10
0.09276580810546875,ReLU,exp,100,2,30
0.07018566131591797,Leaky_ReLU,exp,100,2,30
0.07906985282897949,ELU,exp,100,2,30
0.13171625137329102,PReLU,exp,100,2,30
0.0901181697845459,SELU,exp,100,2,30
0.11685824394226074,ALReLU,exp,100,2,30
0.010321617126464844,ReLU,lin,100,5,1
0.00860595703125,Leaky_ReLU,lin,100,5,1
0.010386943817138672,ELU,lin,100,5,1
0.020592927932739258,PReLU,lin,100,5,1
0.026760101318359375,SELU,lin,100,5,1
0.013975143432617188,ALReLU,lin,100,5,1
0.03375530242919922,ReLU,lin,100,5,3
0.024958372116088867,Leaky_ReLU,lin,100,5,3
0.039742231369018555,ELU,lin,100,5,3
0.020992279052734375,PReLU,lin,100,5,3
0.017746925354003906,SELU,lin,100,5,3
0.018203020095825195,ALReLU,lin,100,5,3
0.06209278106689453,ReLU,lin,100,5,10
0.04619097709655762,Leaky_ReLU,lin,100,5,10
0.06360030174255371,ELU,lin,100,5,10
0.05275702476501465,PReLU,lin,100,5,10
0.04539203643798828,SELU,lin,100,5,10
0.06618952751159668,ALReLU,lin,100,5,10
0.14963126182556152,ReLU,lin,100,5,30
0.09981441497802734,Leaky_ReLU,lin,100,5,30
0.13817238807678223,ELU,lin,100,5,30
0.09634065628051758,PReLU,lin,100,5,30
0.08543705940246582,SELU,lin,100,5,30
0.12238001823425293,ALReLU,lin,100,5,30
0.009090900421142578,ReLU,sin,100,5,1
0.009000301361083984,Leaky_ReLU,sin,100,5,1
0.013180255889892578,ELU,sin,100,5,1
